,pay_stay_zone,street,between_street_1,between_street_2,street_segment_id,db_read_time
492,30001661,ST KILDA ROAD,GRANT STREET,WADEY STREET,22700,2021-08-02 22:24:15.486916
493,30001662,ST KILDA ROAD,HIGH STREET,MOUBRAY STREET,22478,2021-08-02 22:24:15.486916
494,30001663,ST KILDA ROAD,GRANT STREET,WADEY STREET,22700,2021-08-02 22:24:15.486916
495,30001664,ST KILDA ROAD,MOUBRAY STREET,HIGH STREET,22478,2021-08-02 22:24:15.486916
496,30001665,ST KILDA ROAD,MOUBRAY STREET,COMMERCIAL ROAD,22477,2021-08-02 22:24:15.486916
497,30001666,ST KILDA ROAD,SLATER STREET,ARMADALE STREET,22474,2021-08-02 22:24:15.486916
498,30001667,ST KILDA ROAD,SLATER STREET,TOORAK ROAD,22472,2021-08-02 22:24:15.486916
499,30001668,ST KILDA ROAD,SOUTHBANK BOULEVARD,GRANT STREET,22466,2021-08-02 22:24:15.486916
500,30001669,ST KILDA ROAD,TOORAK ROAD,SLATER STREET,22472,2021-08-02 22:24:15.486916
501,30001670,ST KILDA ROAD,COMMERCIAL ROAD,ARMADALE STREET,22476,2021-08-02 22:24:15.486916
502,30001671,STEWART STREET,A'BECKETT STREET,FRANKLIN STREET,21640,2021-08-02 22:24:15.486916
503,30001675,THERRY STREET,ELIZABETH STREET,QUEEN STREET,21629,2021-08-02 22:24:15.486916
504,30001676,THERRY STREET,ELIZABETH STREET,QUEEN STREET,21629,2021-08-02 22:24:15.486916
505,30001677,THERRY STREET,VICTORIA STREET,ELIZABETH STREET,21626,2021-08-02 22:24:15.486916
506,30001678,VICTORIA STREET,BOUVERIE STREET,ELIZABETH STREET,21625,2021-08-02 22:24:15.486916
507,30001679,VICTORIA STREET,ELIZABETH STREET,O'CONNELL STREET,22670,2021-08-02 22:24:15.486916
508,30001680,VICTORIA STREET,CARDIGAN STREET,SWANSTON STREET,21607,2021-08-02 22:24:15.486916
509,30001681,VICTORIA STREET,DRUMMOND STREET,LYGON STREET,21603,2021-08-02 22:24:15.486916
510,30001682,VICTORIA STREET,RATHDOWNE STREET,LA TROBE STREET,21599,2021-08-02 22:24:15.486916
511,30001683,VICTORIA STREET,LYGON STREET,CARDIGAN STREET,21605,2021-08-02 22:24:15.486916
512,30001684,VICTORIA STREET,LYGON STREET,DRUMMOND STREET,21603,2021-08-02 22:24:15.486916
513,30001685,VICTORIA STREET,RATHDOWNE STREET,DRUMMOND STREET,21601,2021-08-02 22:24:15.486916
514,30001686,VICTORIA STREET,SWANSTON STREET,BOUVERIE STREET,21623,2021-08-02 22:24:15.486916
515,30001687,VICTORIA STREET,RATHDOWNE STREET,LA TROBE STREET,21599,2021-08-02 22:24:15.486916
516,30001688,WELLINGTON PARADE SOUTH,WELLINGTON PARADE,JOLIMONT TERRACE,22636,2021-08-02 22:24:15.486916
517,30001690,WILLIAM STREET,A'BECKETT STREET,FRANKLIN STREET,21529,2021-08-02 22:24:15.486916
518,30001694,WILLIAM STREET,FLINDERS LANE,FLINDERS STREET,20178,2021-08-02 22:24:15.486916
519,30001695,WILLIAM STREET,FLINDERS LANE,COLLINS STREET,20181,2021-08-02 22:24:15.486916
520,30001697,WILLIAM STREET,FLINDERS STREET,FLINDERS LANE,20178,2021-08-02 22:24:15.486916
521,30001698,WILLIAM STREET,LA TROBE STREET,A'BECKETT STREET,21519,2021-08-02 22:24:15.486916
522,30001706,WILLS STREET,LA TROBE STREET,A'BECKETT STREET,21521,2021-08-02 22:24:15.486916
523,30001707,BEDFORD STREET,PEEL STREET,COURTNEY STREET,21120,2021-08-02 22:24:15.486916
524,30001708,BLACKWOOD STREET,COURTNEY STREET,FLEMINGTON ROAD,21122,2021-08-02 22:24:15.486916
525,30001709,BLACKWOOD STREET,COURTNEY STREET,FLEMINGTON ROAD,21122,2021-08-02 22:24:15.486916
526,30001710,BLACKWOOD STREET,FLEMINGTON ROAD,COURTNEY STREET,21122,2021-08-02 22:24:15.486916
527,30001711,BLACKWOOD STREET,FLEMINGTON ROAD,COURTNEY STREET,21122,2021-08-02 22:24:15.486916
528,30001712,BLACKWOOD STREET,FLEMINGTON ROAD,COURTNEY STREET,21122,2021-08-02 22:24:15.486916
529,30001713,CAPEL STREET,BEDFORD STREET,COURTNEY STREET,21118,2021-08-02 22:24:15.486916
530,30001714,CAPEL STREET,VICTORIA STREET,QUEENSBERRY STREET,20945,2021-08-02 22:24:15.486916
531,30001715,EXHIBITION STREET,FLINDERS STREET,FLINDERS LANE,20138,2021-08-02 22:24:15.486916
532,30001717,CHETWYND STREET,VICTORIA STREET,QUEENSBERRY STREET,20964,2021-08-02 22:24:15.486916
533,30001720,HARCOURT STREET,FLEMINGTON ROAD,COURTNEY STREET,21180,2021-08-02 22:24:15.486916
534,30001721,COBDEN STREET,PRINCESS STREET,QUEENSBERRY STREET,20939,2021-08-02 22:24:15.486916
535,30001722,CURZON STREET,ELM STREET,QUEENSBERRY STREET,20998,2021-08-02 22:24:15.486916
536,30001723,CURZON STREET OSCP,QUEENSBERRY STREET,VICTORIA STREET,40024,2021-08-02 22:24:15.486916
537,30001724,CURZON STREET OSCP,VICTORIA STREET,QUEENSBERRY STREET,40024,2021-08-02 22:24:15.486916
538,30001725,ERROL STREET,QUEENSBERRY STREET,VICTORIA STREET,20992,2021-08-02 22:24:15.486916
539,30001726,FLEMINGTON ROAD,BLACKWOOD STREET,WRECKYN STREET,21123,2021-08-02 22:24:15.486916
540,30001727,FLEMINGTON ROAD,ELIZABETH STREET,BLACKWOOD STREET,22686,2021-08-02 22:24:15.486916
541,30001728,FLEMINGTON ROAD,VILLIERS STREET,HARCOURT STREET,21182,2021-08-02 22:24:15.486916
542,30001729,HARCOURT STREET,COURTNEY STREET,FLEMINGTON ROAD,21180,2021-08-02 22:24:15.486916
543,30001730,HARCOURT STREET,COURTNEY STREET,FLEMINGTON ROAD,21180,2021-08-02 22:24:15.486916
544,30001731,HOWARD STREET,VICTORIA STREET,QUEENSBERRY STREET,20956,2021-08-02 22:24:15.486916
545,30001734,LEVESON STREET,ARDEN STREET,QUEENSBERRY STREET,21096,2021-08-02 22:24:15.486916
546,30001736,LEVESON STREET,COURTNEY STREET,ARDEN STREET,21146,2021-08-02 22:24:15.486916
547,30001737,LEVESON STREET,QUEENSBERRY STREET,ARDEN STREET,21096,2021-08-02 22:24:15.486916
548,30001738,LEVESON STREET,QUEENSBERRY STREET,VICTORIA STREET,20980,2021-08-02 22:24:15.486916
549,30001739,LEVESON STREET,QUEENSBERRY STREET,VICTORIA STREET,20980,2021-08-02 22:24:15.486916
550,30001740,LEVESON STREET,VICTORIA STREET,QUEENSBERRY STREET,20980,2021-08-02 22:24:15.486916
551,30001741,LEVESON STREET,VICTORIA STREET,QUEENSBERRY STREET,20980,2021-08-02 22:24:15.486916
552,30001742,LEVESON STREET,QUEENSBERRY STREET,VICTORIA STREET,20980,2021-08-02 22:24:15.486916
553,30001743,LEVESON STREET,VICTORIA STREET,QUEENSBERRY STREET,20980,2021-08-02 22:24:15.486916
554,30001744,LEVESON STREET,VICTORIA STREET,QUEENSBERRY STREET,20980,2021-08-02 22:24:15.486916
555,30001745,O'CONNELL STREET,QUEENSBERRY STREET,PEEL STREET,21116,2021-08-02 22:24:15.486916
556,30001746,QUEENSBERRY STREET,CAPEL STREET,HOWARD STREET,20950,2021-08-02 22:24:15.486916
557,30001747,QUEENSBERRY STREET,COBDEN STREET,PEEL STREET,20925,2021-08-02 22:24:15.486916
558,30001748,QUEENSBERRY STREET,ERROL STREET,LEVESON STREET,20990,2021-08-02 22:24:15.486916
559,30001749,THERRY STREET,ELIZABETH STREET,QUEEN STREET,21629,2021-08-02 22:24:15.486916
560,30001750,QUEENSBERRY STREET,COBDEN STREET,PEEL STREET,20925,2021-08-02 22:24:15.486916
561,30001752,VICTORIA STREET,CAPEL STREET,HOWARD STREET,20951,2021-08-02 22:24:15.486916
562,30001753,VICTORIA STREET,CURZON STREET,ERROL STREET,20994,2021-08-02 22:24:15.486916
563,30001754,VILLIERS STREET,COURTNEY STREET,FLEMINGTON ROAD,21141,2021-08-02 22:24:15.486916
564,30001756,VILLIERS STREET,FLEMINGTON ROAD,COURTNEY STREET,21141,2021-08-02 22:24:15.486916
565,30001757,VILLIERS STREET,FLEMINGTON ROAD,COURTNEY STREET,21141,2021-08-02 22:24:15.486916
566,30001759,VILLIERS STREET,COURTNEY STREET,FLEMINGTON ROAD,21141,2021-08-02 22:24:15.486916
567,30001760,VILLIERS STREET,COURTNEY STREET,FLEMINGTON ROAD,21141,2021-08-02 22:24:15.486916
568,30001761,WRECKYN STREET,COURTNEY STREET,FLEMINGTON ROAD,21124,2021-08-02 22:24:15.486916
569,30001762,WRECKYN STREET,COURTNEY STREET,FLEMINGTON ROAD,21124,2021-08-02 22:24:15.486916
570,30001763,WRECKYN STREET,COURTNEY STREET,FLEMINGTON ROAD,21124,2021-08-02 22:24:15.486916
571,30001764,WRECKYN STREET,COURTNEY STREET,FLEMINGTON ROAD,21124,2021-08-02 22:24:15.486916
572,30001765,WRECKYN STREET,COURTNEY STREET,FLEMINGTON ROAD,21124,2021-08-02 22:24:15.486916
573,30001766,WRECKYN STREET,COURTNEY STREET,FLEMINGTON ROAD,21124,2021-08-02 22:24:15.486916
574,30001768,WRECKYN STREET,FLEMINGTON ROAD,COURTNEY STREET,21124,2021-08-02 22:24:15.486916
575,30001770,WRECKYN STREET,FLEMINGTON ROAD,COURTNEY STREET,21124,2021-08-02 22:24:15.486916
576,30001771,WRECKYN STREET,FLEMINGTON ROAD,COURTNEY STREET,21124,2021-08-02 22:24:15.486916
577,30001772,WRECKYN STREET,COURTNEY STREET,FLEMINGTON ROAD,21124,2021-08-02 22:24:15.486916
578,30001775,CEMETERY ROAD WEST,COLLEGE CRESCENT,ROYAL PARADE,22375,2021-08-02 22:24:15.486916
579,30001776,COLLEGE CRESCENT,CEMETERY ROAD WEST,ROYAL PARADE,22599,2021-08-02 22:24:15.486916
580,30001778,COLLEGE CRESCENT,SWANSTON STREET,PRINCES PARK DRIVE,22373,2021-08-02 22:24:15.486916
581,30001781,FLEMINGTON ROAD,MELROSE STREET,DRYBURGH STREET,22425,2021-08-02 22:24:15.486916
582,30001781,FLEMINGTON ROAD,CURRAN STREET,BROUGHAM STREET,21251,2021-08-02 22:24:15.486916
583,30001782,FLEMINGTON ROAD,RACECOURSE ROAD,MELROSE STREET,22590,2021-08-02 22:24:15.486916
584,30001783,FLEMINGTON ROAD,GATEHOUSE STREET,ABBOTSFORD STREET,21257,2021-08-02 22:24:15.486916
585,30001785,FLEMINGTON ROAD,HARKER STREET,MURPHY STREET,22312,2021-08-02 22:24:15.486916
586,30001786,GATEHOUSE STREET,FLEMINGTON ROAD,STORY STREET,22337,2021-08-02 22:24:15.486916
587,30001787,GRATTAN STREET,BOUVERIE STREET,SWANSTON STREET,20847,2021-08-02 22:24:15.486916
588,30001788,GRATTAN STREET,BERKELEY STREET,BARRY STREET,20850,2021-08-02 22:24:15.486916
589,30001788,GRATTAN STREET,LEICESTER STREET,BOUVERIE STREET,20848,2021-08-02 22:24:15.486916
590,30001788,GRATTAN STREET,BERKELEY STREET,ROYAL PARADE,20851,2021-08-02 22:24:15.486916
591,30001789,IEVERS STREET,ROYAL PARADE,THE AVENUE,22384,2021-08-02 22:24:15.486916
592,30001790,LEONARD STREET,ROYAL PARADE,THE AVENUE,22378,2021-08-02 22:24:15.486916
593,30001792,PARK STREET,WEST COBURG TRAMWAY,ROYAL PARADE,22397,2021-08-02 22:24:15.486916
594,30001793,PARK STREET,WEST COBURG TRAMWAY,ROYAL PARADE,22397,2021-08-02 22:24:15.486916
595,30001794,PARK STREET,WEST COBURG TRAMWAY,OAK STREET,22398,2021-08-02 22:24:15.486916
596,30001795,PARK STREET,ROYAL PARADE,WEST COBURG TRAMWAY,22397,2021-08-02 22:24:15.486916
597,30001798,ROYAL PARADE,MACARTHUR ROAD,LEONARD STREET,22434,2021-08-02 22:24:15.486916
598,30001798,ROYAL PARADE,LEONARD STREET,WALKER STREET,22435,2021-08-02 22:24:15.486916
599,30001798,ROYAL PARADE,GATEHOUSE STREET,MACARTHUR ROAD,22438,2021-08-02 22:24:15.486916
600,30001799,ROYAL PARADE,BAYLES STREET,MORRAH STREET,22363,2021-08-02 22:24:15.486916
601,30001799,ROYAL PARADE,BAYLES STREET,DEGRAVES STREET,22605,2021-08-02 22:24:15.486916
602,30001799,ROYAL PARADE,COLLEGE CRESCENT,CEMETERY ROAD,22603,2021-08-02 22:24:15.486916
603,30001799,ROYAL PARADE,GRATTAN STREET,STORY STREET,22514,2021-08-02 22:24:15.486916
604,30001799,ROYAL PARADE,MORRAH STREET,STORY STREET,22608,2021-08-02 22:24:15.486916
605,30001800,ROYAL PARADE,GRATTAN STREET,STORY STREET,22514,2021-08-02 22:24:15.486916
606,30001801,CITY ROAD,CLARENDON STREET,CLARKE STREET,22020,2021-08-02 22:24:15.486916
607,30001802,SWANSTON STREET,COLLEGE CRESCENT,ELGIN STREET,20494,2021-08-02 22:24:15.486916
608,30001803,SWANSTON STREET,GRATTAN STREET,FARADAY STREET,20490,2021-08-02 22:24:15.486916
609,30001804,THE AVENUE,IEVERS STREET,PARK STREET,22392,2021-08-02 22:24:15.486916
610,30001805,THE AVENUE,LEONARD STREET,WALKER STREET,22380,2021-08-02 22:24:15.486916
611,30001806,THE AVENUE,MACARTHUR ROAD,LEONARD STREET,22436,2021-08-02 22:24:15.486916
612,30001807,THE AVENUE,GATEHOUSE STREET,MACARTHUR ROAD,22377,2021-08-02 22:24:15.486916
613,30001808,THE AVENUE,WALKER STREET,IEVERS STREET,22388,2021-08-02 22:24:15.486916
614,30001809,WALKER STREET,ROYAL PARADE,THE AVENUE,22382,2021-08-02 22:24:15.486916
615,30001810,WALKER STREET,ROYAL PARADE,THE AVENUE,22382,2021-08-02 22:24:15.486916
616,30001813,BALSTON STREET,CITY ROAD,KAVANAGH STREET,22046,2021-08-02 22:24:15.486916
617,30001814,BALSTON STREET,CITY ROAD,KAVANAGH STREET,22046,2021-08-02 22:24:15.486916
618,30001815,BALSTON STREET,KAVANAGH STREET,SOUTHERN LINK ROAD,22053,2021-08-02 22:24:15.486916
619,30001816,CITY ROAD,BALSTON STREET,POWER STREET,22050,2021-08-02 22:24:15.486916
620,30001817,CITY ROAD,CLARKE STREET,CLARENDON STREET,22020,2021-08-02 22:24:15.486916
621,30001818,CITY ROAD,KINGS WAY,BALSTON STREET,22048,2021-08-02 22:24:15.486916
622,30001818,CITY ROAD,POWER STREET,BALSTON STREET,22050,2021-08-02 22:24:15.486916
623,30001819,CITY ROAD,POWER STREET,BALSTON STREET,22050,2021-08-02 22:24:15.486916
624,30001820,CITY ROAD,KINGS WAY,CLARKE STREET,22040,2021-08-02 22:24:15.486916
625,30001821,CITY ROAD,KINGS WAY,CLARKE STREET,22040,2021-08-02 22:24:15.486916
626,30001822,CITY ROAD,SOUTHBANK BOULEVARD,SOUTHGATE AVENUE,22063,2021-08-02 22:24:15.486916
627,30001823,CITY ROAD,STURT STREET,SOUTHGATE AVENUE,22066,2021-08-02 22:24:15.486916
628,30001824,CITY ROAD,STURT STREET,SOUTHGATE AVENUE,22066,2021-08-02 22:24:15.486916
629,30001825,CLARKE STREET,CITY ROAD,HAIG STREET,22019,2021-08-02 22:24:15.486916
630,30001826,COVENTRY STREET,DODDS STREET,WELLS STREET,22112,2021-08-02 22:24:15.486916
631,30001827,COVENTRY STREET,ST KILDA ROAD,WELLS STREET,22103,2021-08-02 22:24:15.486916
632,30001828,COVENTRY STREET,ST KILDA ROAD,WELLS STREET,22103,2021-08-02 22:24:15.486916
633,30001829,COVENTRY STREET,ST KILDA ROAD,WELLS STREET,22103,2021-08-02 22:24:15.486916
634,30001830,COVENTRY STREET,ST KILDA ROAD,WELLS STREET,22103,2021-08-02 22:24:15.486916
635,30001831,COVENTRY STREET,STURT STREET,DODDS STREET,22117,2021-08-02 22:24:15.486916
636,30001832,COVENTRY STREET,WELLS STREET,DODDS STREET,22112,2021-08-02 22:24:15.486916
637,30001833,COVENTRY STREET,WELLS STREET,DODDS STREET,22112,2021-08-02 22:24:15.486916
638,30001834,DODDS STREET,COVENTRY STREET,DORCAS STREET,22113,2021-08-02 22:24:15.486916
639,30001835,DODDS STREET,COVENTRY STREET,MILES STREET,22110,2021-08-02 22:24:15.486916
640,30001836,DODDS STREET,MILES STREET,GRANT STREET,22462,2021-08-02 22:24:15.486916
641,30001837,DODDS STREET,GRANT STREET,MILES STREET,22462,2021-08-02 22:24:15.486916
642,30001838,DODDS STREET,MILES STREET,GRANT STREET,22462,2021-08-02 22:24:15.486916
643,30001839,DODDS STREET,SOUTHBANK BOULEVARD,GRANT STREET,22081,2021-08-02 22:24:15.486916
644,30001840,DODDS STREET,SOUTHBANK BOULEVARD,GRANT STREET,22081,2021-08-02 22:24:15.486916
645,30001841,DORCAS STREET,DODDS STREET,WELLS STREET,22096,2021-08-02 22:24:15.486916
646,30001842,DORCAS STREET,KINGS WAY,DODDS STREET,22460,2021-08-02 22:24:15.486916
647,30001843,DORCAS STREET,ST KILDA ROAD,WELLS STREET,22094,2021-08-02 22:24:15.486916
648,30001844,DORCAS STREET,ST KILDA ROAD,WELLS STREET,22094,2021-08-02 22:24:15.486916
649,30001845,DORCAS STREET,ST KILDA ROAD,WELLS STREET,22094,2021-08-02 22:24:15.486916
650,30001846,GRANT STREET,ST KILDA ROAD,WELLS STREET,22082,2021-08-02 22:24:15.486916
651,30001847,GRANT STREET,DODDS STREET,STURT STREET,22826,2021-08-02 22:24:15.486916
652,30001848,HAIG STREET,CLARENDON STREET,WEST GATE FREEWAY,22010,2021-08-02 22:24:15.486916
653,30001849,HAIG STREET,CLARENDON STREET,WEST GATE FREEWAY,22010,2021-08-02 22:24:15.486916
654,30001850,HAIG STREET,CLARENDON STREET,CLARKE STREET,22018,2021-08-02 22:24:15.486916
655,30001851,KAVANAGH STREET,BALSTON STREET,POWER STREET,22051,2021-08-02 22:24:15.486916
656,30001852,KAVANAGH STREET,BALSTON STREET,KINGS WAY,22045,2021-08-02 22:24:15.486916
657,30001853,KAVANAGH STREET,KINGS WAY,BALSTON STREET,22045,2021-08-02 22:24:15.486916
658,30001854,KAVANAGH STREET,POWER STREET,SOUTHBANK BOULEVARD,22077,2021-08-02 22:24:15.486916
659,30001855,KAVANAGH STREET,STURT STREET,SOUTHBANK BOULEVARD,22070,2021-08-02 22:24:15.486916
660,30001856,KAVANAGH STREET,STURT STREET,SOUTHBANK BOULEVARD,22070,2021-08-02 22:24:15.486916
661,30001857,MILES STREET,DODDS STREET,STURT STREET,22108,2021-08-02 22:24:15.486916
662,30001858,MILES STREET,STURT STREET,MOORE STREET,22120,2021-08-02 22:24:15.486916
663,30001859,MILES STREET,STURT STREET,MOORE STREET,22120,2021-08-02 22:24:15.486916
664,30001860,MILES STREET,STURT STREET,DODDS STREET,22108,2021-08-02 22:24:15.486916
665,30001861,MILES STREET,WELLS STREET,DODDS STREET,22107,2021-08-02 22:24:15.486916
666,30001862,MILES STREET,WELLS STREET,DODDS STREET,22107,2021-08-02 22:24:15.486916
667,30001863,MOORE STREET,MILES STREET,KINGS WAY,22461,2021-08-02 22:24:15.486916
668,30001864,MOORE STREET,SOUTHERN LINK ROAD,SOUTHBANK BOULEVARD,22078,2021-08-02 22:24:15.486916
669,30001865,MOORE STREET,SOUTHERN LINK ROAD,SOUTHBANK BOULEVARD,22078,2021-08-02 22:24:15.486916
670,30001866,MOORE STREET,KINGS WAY,MILES STREET,22461,2021-08-02 22:24:15.486916
671,30001867,MOORE STREET,SOUTHBANK BOULEVARD,SOUTHERN LINK ROAD,22078,2021-08-02 22:24:15.486916
672,30001868,MOORE STREET,SOUTHBANK BOULEVARD,SOUTHERN LINK ROAD,22078,2021-08-02 22:24:15.486916
673,30001869,MORAY STREET,WEST GATE FREEWAY,HANCOCK STREET,22036,2021-08-02 22:24:15.486916
674,30001870,QUEENS BRIDGE STREET,QUEENS BRIDGE,POWER STREET,22184,2021-08-02 22:24:15.486916
675,30001871,QUEENS BRIDGE STREET,KINGS WAY,POWER STREET,22182,2021-08-02 22:24:15.486916
676,30001872,QUEENS BRIDGE STREET,KINGS WAY,POWER STREET,22182,2021-08-02 22:24:15.486916
677,30001873,RIVERSIDE QUAY,COOK STREET,SOUTHBANK BOULEVARD,22059,2021-08-02 22:24:15.486916
678,30001874,SOUTHBANK BOULEVARD,KAVANAGH STREET,CITY ROAD,22073,2021-08-02 22:24:15.486916
679,30001875,SOUTHBANK BOULEVARD,KAVANAGH STREET,MOORE STREET,22075,2021-08-02 22:24:15.486916
680,30001876,SOUTHBANK BOULEVARD,MOORE STREET,KAVANAGH STREET,22075,2021-08-02 22:24:15.486916
681,30001877,SOUTHBANK BOULEVARD,STURT STREET,MOORE STREET,22079,2021-08-02 22:24:15.486916
682,30001878,SOUTHBANK BOULEVARD,DODDS STREET,ST KILDA ROAD,16505,2021-08-02 22:24:15.486916
683,30001879,LORIMER STREET,HARTLEY STREET,WEST GATE FREEWAY,22126,2021-08-02 22:24:15.486916
684,30001880,SOUTHGATE AVENUE,CITY ROAD,RIVERSIDE AVENUE,22187,2021-08-02 22:24:15.486916
685,30001881,ST KILDA ROAD,COVENTRY STREET,DORCAS STREET,22092,2021-08-02 22:24:15.486916
686,30001882,ST KILDA ROAD,GRANT STREET,WADEY STREET,22700,2021-08-02 22:24:15.486916
687,30001883,ST KILDA ROAD,ANZAC AVENUE,COVENTRY STREET,22704,2021-08-02 22:24:15.486916
688,30001884,ST KILDA ROAD,COVENTRY STREET,DORCAS STREET,22092,2021-08-02 22:24:15.486916
689,30001885,ST KILDA ROAD,GRANT STREET,WADEY STREET,22700,2021-08-02 22:24:15.486916
690,30001886,ST KILDA ROAD,SOUTHBANK BOULEVARD,GRANT STREET,22466,2021-08-02 22:24:15.486916
691,30001887,ST KILDA ROAD,WADEY STREET,COVENTRY STREET,16509,2021-08-02 22:24:15.486916
692,30001887,ST KILDA ROAD,ANZAC AVENUE,COVENTRY STREET,22704,2021-08-02 22:24:15.486916
693,30001887,ST KILDA ROAD,WADEY STREET,ANZAC AVENUE,22702,2021-08-02 22:24:15.486916
694,30001888,STURT STREET,GRANT STREET,MILES STREET,22767,2021-08-02 22:24:15.486916
695,30001889,STURT STREET,GRANT STREET,SOUTHBANK BOULEVARD,22121,2021-08-02 22:24:15.486916
696,30001890,STURT STREET,CITY ROAD,KAVANAGH STREET,22085,2021-08-02 22:24:15.486916
697,30001891,STURT STREET,KAVANAGH STREET,SOUTHBANK BOULEVARD,22086,2021-08-02 22:24:15.486916
698,30001892,STURT STREET,COVENTRY STREET,MILES STREET,22118,2021-08-02 22:24:15.486916
699,30001893,STURT STREET,MILES STREET,GRANT STREET,22767,2021-08-02 22:24:15.486916
700,30001894,STURT STREET,MILES STREET,SOUTHBANK BOULEVARD,16511,2021-08-02 22:24:15.486916
701,30001895,STURT STREET,MILES STREET,GRANT STREET,22767,2021-08-02 22:24:15.486916
702,30001896,STURT STREET,MILES STREET,COVENTRY STREET,22118,2021-08-02 22:24:15.486916
703,30001897,WADEY STREET,ST KILDA ROAD,WELLS STREET,22090,2021-08-02 22:24:15.486916
704,30001898,WELLS STREET,GRANT STREET,MILES STREET,22106,2021-08-02 22:24:15.486916
705,30001898,WELLS STREET,COVENTRY STREET,MILES STREET,22105,2021-08-02 22:24:15.486916
706,30001899,WELLS STREET,COVENTRY STREET,DORCAS STREET,22098,2021-08-02 22:24:15.486916
707,30001900,WELLS STREET,DORCAS STREET,COVENTRY STREET,22098,2021-08-02 22:24:15.486916
708,30001901,WELLS STREET,DORCAS STREET,COVENTRY STREET,22098,2021-08-02 22:24:15.486916
709,30001902,WELLS STREET,GRANT STREET,MILES STREET,22106,2021-08-02 22:24:15.486916
710,30001903,WELLS STREET,GRANT STREET,MILES STREET,22106,2021-08-02 22:24:15.486916
711,30001904,WELLS STREET,GRANT STREET,MILES STREET,22106,2021-08-02 22:24:15.486916
712,30001905,WHITEMAN STREET,WEST GATE FREEWAY,CLARENDON STREET,22008,2021-08-02 22:24:15.486916
713,30001906,WHITEMAN STREET,KINGS WAY,CLARENDON STREET,22177,2021-08-02 22:24:15.486916
714,30001907,WHITEMAN STREET,QUEENS BRIDGE STREET,KINGS WAY,22562,2021-08-02 22:24:15.486916
715,30001908,WHITEMAN STREET,WEST GATE FREEWAY,CLARENDON STREET,22008,2021-08-02 22:24:15.486916
716,30001909,ALEXANDRA AVENUE,WALSH STREET,ANDERSON STREET,22278,2021-08-02 22:24:15.486916
717,30001909,ALEXANDRA AVENUE,PUNT ROAD,WALSH STREET,22276,2021-08-02 22:24:15.486916
718,30001910,COMMERCIAL ROAD,PUNT ROAD,ST KILDA ROAD,22308,2021-08-02 22:24:15.486916
719,30001911,TOORAK ROAD,ADAMS STREET,ST KILDA ROAD,22209,2021-08-02 22:24:15.486916
720,30001912,TOORAK ROAD,PUNT ROAD,WALSH STREET,22221,2021-08-02 22:24:15.486916
721,30001913,ADDERLEY STREET,JEFFCOTT STREET,BATMAN STREET,21503,2021-08-02 22:24:15.486916
722,30001914,ADDERLEY STREET,LA TROBE STREET,JEFFCOTT STREET,21504,2021-08-02 22:24:15.486916
723,30001915,BATMAN STREET,KING STREET,SPENCER STREET,21516,2021-08-02 22:24:15.486916
724,30001916,ADDERLEY STREET,LA TROBE STREET,JEFFCOTT STREET,21504,2021-08-02 22:24:15.486916
725,30001917,BATMAN STREET,KING STREET,SPENCER STREET,21516,2021-08-02 22:24:15.486916
726,30001918,BATMAN STREET,KING STREET,SPENCER STREET,21516,2021-08-02 22:24:15.486916
727,30001919,BATMAN STREET,SPENCER STREET,ADDERLEY STREET,21494,2021-08-02 22:24:15.486916
728,30001920,BATMAN STREET,SPENCER STREET,ADDERLEY STREET,21494,2021-08-02 22:24:15.486916
729,30001921,BATMAN STREET,SPENCER STREET,ADDERLEY STREET,21494,2021-08-02 22:24:15.486916
730,30001922,CAPEL STREET,VICTORIA STREET,WILLIAM STREET,21392,2021-08-02 22:24:15.486916
731,30001923,CAPEL STREET,WILLIAM STREET,VICTORIA STREET,21392,2021-08-02 22:24:15.486916
732,30001924,CHETWYND STREET,STANLEY STREET,VICTORIA STREET,22661,2021-08-02 22:24:15.486916
733,30001925,DUDLEY STREET,ADDERLEY STREET,SPENCER STREET,21483,2021-08-02 22:24:15.486916
734,30001926,BATMAN STREET,KING STREET,SPENCER STREET,21516,2021-08-02 22:24:15.486916
735,30001927,DUDLEY STREET,KING STREET,SPENCER STREET,21413,2021-08-02 22:24:15.486916
736,30001928,DUDLEY STREET,KING STREET,SPENCER STREET,21413,2021-08-02 22:24:15.486916
737,30001930,DUDLEY STREET,SPENCER STREET,ADDERLEY STREET,21483,2021-08-02 22:24:15.486916
738,30001931,DUDLEY STREET,SPENCER STREET,KING STREET,21413,2021-08-02 22:24:15.486916
739,30001932,DUDLEY STREET,MILTON STREET,KING STREET,21411,2021-08-02 22:24:15.486916
740,30001934,JEFFCOTT STREET,KING STREET,SPENCER STREET,21514,2021-08-02 22:24:15.486916
741,30001935,JEFFCOTT STREET,SPENCER STREET,ADDERLEY STREET,21501,2021-08-02 22:24:15.486916
742,30001936,JEFFCOTT STREET,SPENCER STREET,ADDERLEY STREET,21501,2021-08-02 22:24:15.486916
743,30001937,JEFFCOTT STREET,SPENCER STREET,KING STREET,21514,2021-08-02 22:24:15.486916
744,30001938,JEFFCOTT STREET,SPENCER STREET,KING STREET,21514,2021-08-02 22:24:15.486916
745,30001939,KING STREET,BATMAN STREET,DUDLEY STREET,21518,2021-08-02 22:24:15.486916
